onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
444.0	60.0	epochs	4.0	0.32	0.0	0.8
535.0	59.0	epochs	1.0	0.04	270.0	0.8
625.0	60.0	epochs	8.0	0.08	180.0	0.8
715.0	60.0	epochs	2.0	0.04	90.0	0.8
806.0	59.0	epochs	0.5	0.04	180.0	0.8
896.0	60.0	epochs				
986.0	60.0	epochs	8.0	0.32	0.0	0.8
1077.0	59.0	epochs	2.0	0.02	90.0	0.8
1167.0	60.0	epochs	8.0	0.04	270.0	0.8
1257.0	60.0	epochs	1.0	0.04	0.0	0.8
1348.0	59.0	epochs	2.0	0.32	270.0	0.8
1438.0	60.0	epochs	8.0	0.08	0.0	0.8
1528.0	60.0	epochs	4.0	0.32	0.0	0.8
1618.0	60.0	epochs	0.5	0.04	0.0	0.8
1709.0	59.0	epochs	4.0	0.08	180.0	0.8
1799.0	60.0	epochs	0.5	0.04	0.0	0.8
1889.0	60.0	epochs	0.5	0.02	90.0	0.8
1980.0	59.0	epochs	1.0	0.02	0.0	0.8
2070.0	60.0	epochs	4.0	0.32	90.0	0.8
2160.0	60.0	epochs	2.0	0.32	90.0	0.8
2251.0	59.0	epochs	0.5	0.08	0.0	0.8
2341.0	60.0	epochs	0.5	0.02	270.0	0.8
2431.0	60.0	epochs	0.5	0.04	90.0	0.8
2521.0	60.0	epochs	8.0	0.02	0.0	0.8
2612.0	59.0	epochs	0.5	0.02	180.0	0.8
2702.0	60.0	epochs	2.0	0.04	0.0	0.8
2792.0	60.0	epochs	8.0	0.16	270.0	0.8
2883.0	59.0	epochs	8.0	0.02	270.0	0.8
2973.0	60.0	epochs	8.0	0.08	180.0	0.8
3063.0	60.0	epochs	2.0	0.02	270.0	0.8
3154.0	59.0	epochs	4.0	0.08	180.0	0.8
3244.0	60.0	epochs	1.0	0.32	270.0	0.8
3334.0	60.0	epochs	0.5	0.32	270.0	0.8
3424.0	60.0	epochs	0.5	0.08	90.0	0.8
3515.0	59.0	epochs	2.0	0.32	90.0	0.8
3605.0	60.0	epochs	4.0	0.16	270.0	0.8
3695.0	60.0	epochs	2.0	0.08	270.0	0.8
3786.0	59.0	epochs	2.0	0.08	180.0	0.8
3876.0	60.0	epochs	4.0	0.04	0.0	0.8
3966.0	60.0	epochs	2.0	0.04	180.0	0.8
4057.0	59.0	epochs	8.0	0.08	0.0	0.8
