onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
435.0	59.0	epochs	4.0	0.08	0.0	0.8
525.0	60.0	epochs	8.0	0.08	180.0	0.8
616.0	59.0	epochs	1.0	0.08	0.0	0.8
706.0	60.0	epochs	2.0	0.16	90.0	0.8
797.0	60.0	epochs	1.0	0.32	0.0	0.8
887.0	60.0	epochs	1.0	0.04	90.0	0.8
978.0	60.0	epochs	4.0	0.08	0.0	0.8
1068.0	60.0	epochs	4.0	0.02	270.0	0.8
1159.0	60.0	epochs	1.0	0.08	90.0	0.8
1249.0	60.0	epochs	2.0	0.16	270.0	0.8
1340.0	60.0	epochs	8.0	0.32	270.0	0.8
1430.0	60.0	epochs	8.0	0.02	90.0	0.8
1521.0	60.0	epochs	0.5	0.16	180.0	0.8
1611.0	60.0	epochs	1.0	0.16	0.0	0.8
1702.0	60.0	epochs	8.0	0.32	180.0	0.8
1792.0	60.0	epochs	8.0	0.16	90.0	0.8
1883.0	60.0	epochs	2.0	0.16	180.0	0.8
1974.0	59.0	epochs	4.0	0.32	90.0	0.8
2064.0	60.0	epochs	8.0	0.32	90.0	0.8
2155.0	59.0	epochs	0.5	0.08	270.0	0.8
2245.0	60.0	epochs	8.0	0.16	180.0	0.8
2336.0	59.0	epochs	0.5	0.08	0.0	0.8
2426.0	60.0	epochs	1.0	0.32	0.0	0.8
2517.0	59.0	epochs	1.0	0.32	180.0	0.8
2607.0	60.0	epochs	4.0	0.32	90.0	0.8
2698.0	60.0	epochs	0.5	0.08	270.0	0.8
2788.0	60.0	epochs	1.0	0.08	0.0	0.8
2879.0	60.0	epochs	4.0	0.08	270.0	0.8
2969.0	60.0	epochs	1.0	0.08	90.0	0.8
3060.0	60.0	epochs	2.0	0.02	90.0	0.8
3150.0	60.0	epochs	2.0	0.04	180.0	0.8
3241.0	60.0	epochs	0.5	0.08	180.0	0.8
3331.0	60.0	epochs	0.5	0.04	0.0	0.8
3422.0	60.0	epochs	2.0	0.32	180.0	0.8
3512.0	60.0	epochs	0.5	0.08	180.0	0.8
3603.0	60.0	epochs	2.0	0.32	180.0	0.8
3693.0	60.0	epochs	2.0	0.32	270.0	0.8
3784.0	60.0	epochs	2.0	0.02	0.0	0.8
3874.0	60.0	epochs	2.0	0.04	270.0	0.8
3965.0	60.0	epochs	8.0	0.02	270.0	0.8
4056.0	59.0	epochs	8.0	0.08	0.0	0.8
4146.0	60.0	epochs	1.0	0.04	0.0	0.8
4237.0	59.0	epochs	8.0	0.04	180.0	0.8
4327.0	60.0	epochs	8.0	0.32	0.0	0.8
4418.0	59.0	epochs	2.0	0.32	90.0	0.8
4508.0	60.0	epochs	1.0	0.16	90.0	0.8
4599.0	60.0	epochs	2.0	0.16	270.0	0.8
4689.0	60.0	epochs	2.0	0.04	90.0	0.8
4780.0	60.0	epochs	4.0	0.16	0.0	0.8
4870.0	60.0	epochs	8.0	0.08	0.0	0.8
4961.0	60.0	epochs	8.0	0.02	0.0	0.8
5051.0	60.0	epochs	2.0	0.08	90.0	0.8
5142.0	60.0	epochs	8.0	0.32	180.0	0.8
5232.0	60.0	epochs	4.0	0.02	180.0	0.8
5323.0	60.0	epochs	0.5	0.04	0.0	0.8
5413.0	60.0	epochs	4.0	0.02	270.0	0.8
5504.0	60.0	epochs	0.5	0.32	0.0	0.8
5594.0	60.0	epochs	0.5	0.02	0.0	0.8
5685.0	60.0	epochs	0.5	0.32	270.0	0.8
5775.0	60.0	epochs	4.0	0.04	0.0	0.8
5866.0	60.0	epochs	1.0	0.04	90.0	0.8
5957.0	59.0	epochs	1.0	0.04	90.0	0.8
6047.0	60.0	epochs	0.5	0.08	270.0	0.8
6138.0	59.0	epochs	2.0	0.04	270.0	0.8
6228.0	60.0	epochs	8.0	0.32	180.0	0.8
6319.0	59.0	epochs	0.5	0.16	180.0	0.8
6409.0	60.0	epochs	4.0	0.32	90.0	0.8
6500.0	59.0	epochs	1.0	0.04	90.0	0.8
6590.0	60.0	epochs	4.0	0.02	0.0	0.8
6681.0	60.0	epochs	4.0	0.04	270.0	0.8
6771.0	60.0	epochs	8.0	0.04	180.0	0.8
6862.0	60.0	epochs	4.0	0.16	270.0	0.8
6952.0	60.0	epochs	2.0	0.16	0.0	0.8
7043.0	60.0	epochs	8.0	0.08	180.0	0.8
7133.0	60.0	epochs	0.5	0.16	270.0	0.8
7224.0	60.0	epochs	8.0	0.08	90.0	0.8
7314.0	60.0	epochs	4.0	0.02	0.0	0.8
7405.0	60.0	epochs	1.0	0.04	0.0	0.8
7495.0	60.0	epochs	1.0	0.08	270.0	0.8
7586.0	60.0	epochs	2.0	0.16	270.0	0.8
7676.0	60.0	epochs	0.5	0.08	90.0	0.8
7767.0	60.0	epochs	4.0	0.04	90.0	0.8
7857.0	60.0	epochs	1.0	0.32	270.0	0.8
7948.0	60.0	epochs	0.5	0.16	0.0	0.8
8039.0	59.0	epochs	8.0	0.04	180.0	0.8
8129.0	60.0	epochs	2.0	0.32	270.0	0.8
8220.0	59.0	epochs	4.0	0.04	90.0	0.8
8310.0	60.0	epochs	2.0	0.04	0.0	0.8
8401.0	59.0	epochs	0.5	0.02	180.0	0.8
8491.0	60.0	epochs	8.0	0.32	180.0	0.8
8582.0	60.0	epochs	2.0	0.32	0.0	0.8
8672.0	60.0	epochs	4.0	0.32	270.0	0.8
8763.0	60.0	epochs	1.0	0.04	0.0	0.8
8853.0	60.0	epochs	2.0	0.08	0.0	0.8
8944.0	60.0	epochs	2.0	0.04	0.0	0.8
9034.0	60.0	epochs	2.0	0.02	270.0	0.8
9125.0	60.0	epochs	8.0	0.08	90.0	0.8
9215.0	60.0	epochs	1.0	0.32	180.0	0.8
9306.0	60.0	epochs	1.0	0.16	270.0	0.8
9396.0	60.0	epochs	1.0	0.16	270.0	0.8
9487.0	60.0	epochs	1.0	0.02	90.0	0.8
9577.0	60.0	epochs	4.0	0.04	90.0	0.8
9668.0	60.0	epochs	8.0	0.04	90.0	0.8
9758.0	60.0	epochs	4.0	0.08	0.0	0.8
9849.0	60.0	epochs	8.0	0.16	0.0	0.8
9939.0	60.0	epochs	4.0	0.02	270.0	0.8
10030.0	60.0	epochs	2.0	0.02	180.0	0.8
10121.0	59.0	epochs	0.5	0.08	270.0	0.8
10211.0	60.0	epochs	4.0	0.04	270.0	0.8
10302.0	59.0	epochs	8.0	0.16	90.0	0.8
10392.0	60.0	epochs	2.0	0.32	0.0	0.8
10483.0	59.0	epochs	2.0	0.04	0.0	0.8
10573.0	60.0	epochs	4.0	0.16	180.0	0.8
10664.0	60.0	epochs	8.0	0.04	90.0	0.8
10754.0	60.0	epochs	4.0	0.32	270.0	0.8
10845.0	60.0	epochs	0.5	0.16	0.0	0.8
10935.0	60.0	epochs	8.0	0.04	180.0	0.8
11026.0	60.0	epochs	1.0	0.02	180.0	0.8
11116.0	60.0	epochs	4.0	0.32	180.0	0.8
11207.0	60.0	epochs	1.0	0.04	180.0	0.8
11297.0	60.0	epochs	1.0	0.02	90.0	0.8
11388.0	60.0	epochs	0.5	0.16	90.0	0.8
11478.0	60.0	epochs	1.0	0.16	90.0	0.8
11569.0	60.0	epochs	1.0	0.08	90.0	0.8
11659.0	60.0	epochs	0.5	0.16	180.0	0.8
11750.0	60.0	epochs	1.0	0.02	270.0	0.8
11840.0	60.0	epochs	2.0	0.02	180.0	0.8
11931.0	60.0	epochs	8.0	0.16	180.0	0.8
12022.0	59.0	epochs	4.0	0.16	180.0	0.8
12112.0	60.0	epochs	0.5	0.02	270.0	0.8
12203.0	59.0	epochs	4.0	0.16	270.0	0.8
12293.0	60.0	epochs	1.0	0.08	270.0	0.8
12384.0	59.0	epochs	2.0	0.04	90.0	0.8
12474.0	60.0	epochs	8.0	0.16	270.0	0.8
12565.0	59.0	epochs	2.0	0.02	0.0	0.8
12655.0	60.0	epochs	2.0	0.02	270.0	0.8
12746.0	60.0	epochs	2.0	0.08	90.0	0.8
12836.0	60.0	epochs	8.0	0.08	270.0	0.8
12927.0	60.0	epochs	4.0	0.16	270.0	0.8
13017.0	60.0	epochs	8.0	0.32	0.0	0.8
13108.0	61.0	epochs	0.5	0.08	270.0	0.8
13199.0	60.0	epochs	4.0	0.32	90.0	0.8
13290.0	60.0	epochs	0.5	0.02	90.0	0.8
13380.0	60.0	epochs	4.0	0.32	0.0	0.8
13471.0	60.0	epochs	8.0	0.16	180.0	0.8
13561.0	60.0	epochs	8.0	0.02	90.0	0.8
13652.0	60.0	epochs	2.0	0.16	270.0	0.8
13742.0	60.0	epochs	4.0	0.04	180.0	0.8
13833.0	60.0	epochs	4.0	0.02	180.0	0.8
13923.0	60.0	epochs	1.0	0.08	180.0	0.8
14014.0	60.0	epochs	4.0	0.04	0.0	0.8
14105.0	59.0	epochs	8.0	0.16	270.0	0.8
14195.0	60.0	epochs	0.5	0.08	180.0	0.8
