onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
435.0	60.0	epochs	8.0	0.08	270.0	0.8
526.0	59.0	epochs	1.0	0.32	180.0	0.8
616.0	60.0	epochs	1.0	0.08	180.0	0.8
707.0	59.0	epochs	2.0	0.04	90.0	0.8
797.0	60.0	epochs	0.5	0.32	0.0	0.8
888.0	59.0	epochs	1.0	0.04	90.0	0.8
978.0	60.0	epochs	8.0	0.16	270.0	0.8
1069.0	60.0	epochs	8.0	0.08	90.0	0.8
1159.0	60.0	epochs	4.0	0.02	180.0	0.8
1250.0	60.0	epochs	2.0	0.16	270.0	0.8
1340.0	60.0	epochs	2.0	0.04	270.0	0.8
1431.0	60.0	epochs	4.0	0.16	180.0	0.8
1521.0	60.0	epochs	4.0	0.08	270.0	0.8
1612.0	60.0	epochs	8.0	0.16	90.0	0.8
1702.0	60.0	epochs	8.0	0.32	270.0	0.8
1793.0	60.0	epochs	2.0	0.08	180.0	0.8
1883.0	60.0	epochs	0.5	0.32	270.0	0.8
1974.0	60.0	epochs	2.0	0.08	90.0	0.8
2065.0	59.0	epochs	1.0	0.08	270.0	0.8
2155.0	60.0	epochs	4.0	0.04	90.0	0.8
2246.0	59.0	epochs	4.0	0.08	0.0	0.8
2336.0	60.0	epochs	4.0	0.02	180.0	0.8
2427.0	60.0	epochs	0.5	0.08	90.0	0.8
2517.0	60.0	epochs	4.0	0.04	0.0	0.8
2608.0	60.0	epochs	1.0	0.04	0.0	0.8
2698.0	60.0	epochs	2.0	0.16	90.0	0.8
2789.0	60.0	epochs	4.0	0.32	270.0	0.8
2879.0	60.0	epochs	1.0	0.04	0.0	0.8
2970.0	60.0	epochs	8.0	0.04	0.0	0.8
3060.0	60.0	epochs	8.0	0.02	270.0	0.8
3151.0	60.0	epochs	4.0	0.32	90.0	0.8
3241.0	60.0	epochs	1.0	0.02	90.0	0.8
3332.0	60.0	epochs	1.0	0.32	270.0	0.8
3423.0	59.0	epochs	0.5	0.02	270.0	0.8
3513.0	60.0	epochs	2.0	0.32	270.0	0.8
3604.0	59.0	epochs	0.5	0.02	180.0	0.8
3694.0	60.0	epochs	4.0	0.08	180.0	0.8
