onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
436.0	60.0	epochs	8.0	0.04	0.0	0.8
526.0	60.0	epochs	0.5	0.08	0.0	0.8
617.0	60.0	epochs	2.0	0.02	0.0	0.8
707.0	60.0	epochs	4.0	0.08	0.0	0.8
798.0	60.0	epochs	8.0	0.08	180.0	0.8
888.0	60.0	epochs	4.0	0.16	180.0	0.8
979.0	60.0	epochs	0.5	0.04	90.0	0.8
1069.0	60.0	epochs	0.5	0.02	90.0	0.8
1160.0	60.0	epochs	0.5	0.32	180.0	0.8
1250.0	60.0	epochs	2.0	0.08	90.0	0.8
1341.0	60.0	epochs	0.5	0.32	270.0	0.8
1432.0	59.0	epochs	0.5	0.16	90.0	0.8
1522.0	60.0	epochs	8.0	0.04	270.0	0.8
1613.0	59.0	epochs	8.0	0.16	90.0	0.8
1703.0	60.0	epochs	1.0	0.02	180.0	0.8
1794.0	60.0	epochs	8.0	0.32	90.0	0.8
1884.0	60.0	epochs	2.0	0.32	90.0	0.8
1975.0	60.0	epochs	1.0	0.32	270.0	0.8
2065.0	60.0	epochs	8.0	0.02	90.0	0.8
2156.0	60.0	epochs	0.5	0.16	180.0	0.8
2246.0	60.0	epochs	4.0	0.02	90.0	0.8
2337.0	60.0	epochs	4.0	0.04	90.0	0.8
2427.0	60.0	epochs	2.0	0.04	90.0	0.8
2518.0	60.0	epochs	4.0	0.08	0.0	0.8
2608.0	60.0	epochs	8.0	0.04	0.0	0.8
2699.0	60.0	epochs	0.5	0.32	270.0	0.8
2790.0	59.0	epochs	0.5	0.16	0.0	0.8
2880.0	60.0	epochs	4.0	0.32	0.0	0.8
2971.0	59.0	epochs	8.0	0.32	0.0	0.8
3061.0	60.0	epochs	0.5	0.04	180.0	0.8
3152.0	59.0	epochs	8.0	0.16	90.0	0.8
3242.0	60.0	epochs	8.0	0.08	90.0	0.8
3333.0	60.0	epochs	2.0	0.08	90.0	0.8
3423.0	60.0	epochs	2.0	0.32	270.0	0.8
3514.0	60.0	epochs	2.0	0.04	270.0	0.8
3604.0	60.0	epochs	2.0	0.02	270.0	0.8
3695.0	60.0	epochs	2.0	0.04	270.0	0.8
3785.0	60.0	epochs	8.0	0.16	270.0	0.8
3876.0	60.0	epochs	8.0	0.02	0.0	0.8
3966.0	60.0	epochs	8.0	0.04	270.0	0.8
4057.0	60.0	epochs	8.0	0.02	0.0	0.8
4147.0	60.0	epochs	4.0	0.02	270.0	0.8
4238.0	60.0	epochs	0.5	0.32	90.0	0.8
4329.0	59.0	epochs	4.0	0.08	270.0	0.8
4419.0	60.0	epochs	4.0	0.32	270.0	0.8
