onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
446.0	59.0	epochs	0.5	0.04	0.0	0.8
536.0	60.0	epochs	8.0	0.04	90.0	0.8
626.0	60.0	epochs	2.0	0.32	0.0	0.8
717.0	59.0	epochs				
807.0	60.0	epochs				
897.0	60.0	epochs	2.0	0.16	180.0	0.8
988.0	59.0	epochs	8.0	0.02	90.0	0.8
1078.0	60.0	epochs	8.0	0.32	0.0	0.8
1168.0	60.0	epochs	1.0	0.02	180.0	0.8
1259.0	59.0	epochs	2.0	0.08	270.0	0.8
1349.0	60.0	epochs	0.5	0.04	180.0	0.8
1439.0	60.0	epochs	8.0	0.08	180.0	0.8
1530.0	59.0	epochs	1.0	0.04	0.0	0.8
1620.0	60.0	epochs	1.0	0.02	270.0	0.8
1710.0	60.0	epochs	2.0	0.04	0.0	0.8
1801.0	59.0	epochs	8.0	0.08	270.0	0.8
1891.0	60.0	epochs	4.0	0.02	270.0	0.8
1981.0	60.0	epochs	0.5	0.08	180.0	0.8
2071.0	60.0	epochs	0.5	0.04	90.0	0.8
2162.0	59.0	epochs	2.0	0.02	90.0	0.8
2252.0	60.0	epochs	2.0	0.32	270.0	0.8
2342.0	60.0	epochs	4.0	0.32	90.0	0.8
2433.0	59.0	epochs	1.0	0.04	270.0	0.8
2523.0	60.0	epochs	4.0	0.02	90.0	0.8
2613.0	60.0	epochs	4.0	0.16	0.0	0.8
2704.0	59.0	epochs	4.0	0.32	270.0	0.8
2794.0	60.0	epochs	0.5	0.02	180.0	0.8
2884.0	60.0	epochs	0.5	0.32	90.0	0.8
2975.0	59.0	epochs	4.0	0.32	180.0	0.8
3065.0	60.0	epochs	4.0	0.02	270.0	0.8
3155.0	60.0	epochs	4.0	0.04	0.0	0.8
3246.0	59.0	epochs	2.0	0.16	180.0	0.8
3336.0	60.0	epochs	2.0	0.02	0.0	0.8
3426.0	60.0	epochs	4.0	0.02	0.0	0.8
3517.0	59.0	epochs	1.0	0.08	90.0	0.8
3607.0	60.0	epochs	1.0	0.02	90.0	0.8
3697.0	60.0	epochs	4.0	0.02	270.0	0.8
3787.0	60.0	epochs	1.0	0.32	180.0	0.8
3878.0	59.0	epochs	2.0	0.16	90.0	0.8
3968.0	60.0	epochs	8.0	0.32	180.0	0.8
4058.0	60.0	epochs	1.0	0.02	270.0	0.8
4149.0	59.0	epochs	8.0	0.16	180.0	0.8
4239.0	60.0	epochs	2.0	0.02	90.0	0.8
4329.0	60.0	epochs	0.5	0.08	180.0	0.8
4420.0	59.0	epochs	0.5	0.16	0.0	0.8
4510.0	60.0	epochs	0.5	0.32	90.0	0.8
4600.0	60.0	epochs	4.0	0.04	270.0	0.8
4691.0	59.0	epochs	1.0	0.32	270.0	0.8
4781.0	60.0	epochs	4.0	0.32	180.0	0.8
4871.0	60.0	epochs	4.0	0.04	90.0	0.8
4962.0	59.0	epochs	2.0	0.16	270.0	0.8
5052.0	60.0	epochs	4.0	0.04	180.0	0.8
5142.0	60.0	epochs	1.0	0.04	270.0	0.8
5233.0	59.0	epochs	1.0	0.02	180.0	0.8
